Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"419761";"19541931000125";"18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA";;"Administradora de Benefícios";"RUA CAPITÃO MEDEIROS DE REZENDE";"274";;"PRAÇA DA BANDEIRA";"Além Paraíba";"MG";"36660000";"32";"34624649";;"contabilidade@cbnassessoria.com.br";"LUIZ HENRIQUE MARENDINO GONÇALVES";"SÓCIO ADMINISTRADOR";6;"2015-05-19"
"421545";"22869997000153";"2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA";;"Odontologia de Grupo";"RUA CATÃO";"128";"SALA 126";"VILA ROMANA";"São Paulo";"SP";"05049000";"11";"34415852";;"labmarisol@gmail.com";"MARISOL BECHELLI";"SÓCIO ADMINISTRADORA";4;"2019-06-13"
"421421";"27452545000195";"2CARE OPERADORA DE SAÚDE LTDA.";;"Medicina de Grupo";"RUA: BERNARDINO DE CAMPOS";"230";"1º ANDAR";"CENTRO";"Campinas";"SP";"13010151";"19";"37901224";;"ans.plano@hospitalcare.com.br";"RODRIGO PINHO RIBEIRO";"REPRESENTANTE";5;"2018-10-09"
"422908";"41788751000100";"3S ADMINISTRADORA DE BENEFICIOS LTDA";"3S ADMINISTRADORA DE BENEFICIOS";"Administradora de Benefícios";"RUA ITÁLIA";"33";"SALA 6";"JARDIM BONFIGLIOLI";"Jundiaí";"SP";"13207280";"11";"42263247";;"pietrorocchi37@gmail.com";"ANAMELIA MONTEIRO GUERRA ROCCHI";"SÓCIO ADMINISTRADOR";6;"2021-07-12"
"418030";"13138885000131";"A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.";"A.P.S. SAÚDE.";"Administradora de Benefícios";"RUA VOLUNTÁRIOS DA PÁTRIA";"2525";"CONJUNTO 143 - SALA 01";"SANTANA";"São Paulo";"SP";"02401000";"11";"45223468";;"diretoria@apssaude.com.br";"PERCÍVEL GAETA";"SóCIO-ADMINISTRADOR E REPRESEN";4;"2011-05-05"
"314668";"17505793000101";"ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL";"ABERTTA SAÚDE";"Autogestão";"AV. BERNARDO MONTEIRO";"831";"Subsolo, 2º andar e 3º andar";"SANTA EFIGÊNIA";"Belo Horizonte";"MG";"30150281";"31";"32484300";"32484377";"abertta.ans@arcelormittal.com.br";"RICARDO DUPIN LUSTOSA";"Diretor Presidente";4;"1998-12-28"
"419621";"17687511000126";"ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.";;"Administradora de Benefícios";"AVENIDA JOSÉ DA SILVA NETO";"200";"BLOCO 4, SALA 403";"BARRA DA TIJUCA";"Rio de Janeiro";"RJ";"22775056";;;;"contato@abplus.com.br";"ROBERTO CARLOS MACHADO RODRIGUES";"ADMINISTRADOR";6;"2014-11-13"
"424242";"56298884000167";"ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.";"ABRANGE SAÚDE";"Administradora de Benefícios";"RUA CEL. JOSÉ EUSEBIO";"95.0";"SALA 13";"HIGIENOPOLIS";"São Paulo";"SP";"01239030";"11";"920554400";;"dayanasantos@abrangesaude.com.br";"DAYANA DOS SANTOSDE BRITO FLORÊNCIO";"ADMINISTRADORA";;"2025-01-06"
"418901";"10458298000131";"AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA";"AD SALUTE";"Administradora de Benefícios";"RUA BUENOS AIRES";"68";"SALA 2901";"CENTRO";"Rio de Janeiro";"RJ";"20070020";"21";"35531692";;"LEONARDO@UNIMEDICASAUDE.COM";"JOÃO CARMO DA SILVEIRA";"ADMINISTRADOR";5;"2013-06-13"
"421553";"28315826000169";"ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.";"ADM LIFE";"Administradora de Benefícios";"AVENIDA PEDROSO DE MORAIS";"272";"CJ 96";"PINHEIROS";"São Paulo";"SP";"05420000";"11";"99475503";;"cristiane@admlife.com.br";"NELITO JÚNIOR DE ALMEIDA SILVA";"Sócio Administrador";4;"2019-01-09"
"416932";"07867825000157";"ADMSERV BENEFÍCIOS E SERVIÇOS LTDA";"GÉIA ADMINISTRADORA DE BENEFICIOS";"Administradora de Benefícios";"Avenida Valdemar Ferreira";"463";;"Butantã";"São Paulo";"SP";"05501000";"11";"36602000";"36602000";"sandra@geia.com.br";"PEDRO OLIVEIRA OBLIZINER";"SÓCIO ADMINISTRADOR";2;"2009-03-30"
"422347";"37201454000130";"ADRESS ADMINISTRADORA DE BENEFICIOS LTDA";"ADRESS";"Administradora de Benefícios";"AVENIDA RIO BRANCO";"125";"15º ANDAR  SALA 1501";"CENTRO";"Rio de Janeiro";"RJ";"20040006";"21";"22524066";;"contato@adress.com.br";"LAIR ISABEL BOHRER DIEDAM";"SÓCIA ADMINISTRADORA";6;"2020-09-03"
"335657";"02041808000142";"ADVANCE PLANOS DE SAÚDE LTDA";;"Medicina de Grupo";"RUA DOS BURITIS";"128";"SALA 202 - CENTRO EMPRESARIAL ZONA SUL";"JABAQUARA";"São Paulo";"SP";"04321000";;;;"planosdesaude@advanceplanos.com.br";"JOSÉ JAIR JAMES DE ARRUDA PINTO";"ADMINISTRADOR";4;"1998-12-28"
"413283";"03694367000140";"AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP";;"Odontologia de Grupo";"ALAMEDA GRAJAÚ";"60";"SALA 2814";"ALPHAVILLE INDUSTRIAL";"Barueri";"SP";"06454050";"01";"168135656";"168135656";"aespodonto@aespodonto.com.br";"CARLOS EUGENIO PORTO BRAGA";"ADMINISTRADOR";4;"2001-03-07"
